Articles,de,fr,es,it,sv,nl,pl,ru,en
Reputation_system,,,,,,,,,Reputation_system
Resilience_(network),,,,,,,,,Resilience_(network)
Right_to_be_forgotten,Recht_auf_Vergessenwerden,Droit_à_l'oubli,Derecho_al_olvido,Diritto_all'oblio,,Recht_om_vergeten_te_worden,,Право_на_забвение,Right_to_be_forgotten
Right_to_Internet_access,,,Derecho_de_acceso_a_Internet,Diritto_di_accesso_a_Internet,,,,Право_на_интернет-доступ,Right_to_Internet_access
Right_to_Internet_access,,,Derecho_de_acceso_a_Internet,Diritto_di_accesso_a_Internet,,,,Право_на_интернет-доступ,Right_to_Internet_access
Robot_ethics,Roboterethik,Roboéthique,Roboética,Roboetica,,,,,Robot_ethics
Robot_tax,,,,,,,,,Robot_tax
Scalability,Skalierbarkeit,Scalability,Escalabilidad,Scalabilità,,Schaalbaarheid,Skalowalność,Масштабируемость,Scalability
Secure_by_design,,,,,,,Secure_by_design,,Secure_by_design
Secure_communication,,Communication_sécurisée,,,,,,,Secure_communication
Secure_Electronic_Transaction,Secure_Electronic_Transaction,Secure_Electronic_Transaction,Transacción_electrónica_segura,Secure_Electronic_Transaction,,,Secure_Electronic_Transaction,Secure_Electronic_Transaction,Secure_Electronic_Transaction
Self-management_(computer_science),,,,,,,,,Self-management_(computer_science)
Sharing_economy,Sharing_Economy,Économie_collaborative,,Sharing_economy,Delningsekonomi,Deeleconomie,Ekonomia_współpracy,,Sharing_economy
Sharing_economy,Sharing_Economy,Économie_collaborative,,Sharing_economy,Delningsekonomi,Deeleconomie,Ekonomia_współpracy,,Sharing_economy
Smart_city,Smart_City,Ville_intelligente,Ciudad_inteligente,Città_intelligente,,Slimme_stad,Inteligentne_miasto,Умный_город,Smart_city
Social_inequality,Soziale_Ungleichheit,Inégalité_(sociologie),Desigualdad_social,Disuguaglianza_sociale,,Sociale_ongelijkheid,,Социальное_неравенство,Social_inequality
Social_innovation,Soziale_Innovation,Innovation_sociale,Innovación_social,Innovazione_sociale,,Sociale_innovatie,,Социальные_инновации,Social_innovation
Social_learning_network,,,,,,,,,Social_learning_network
Social_media,Social_Media,Médias_sociaux,Medios_sociales,Social_media,Sociala_medier,Sociale_media,Media_społecznościowe,Социальные_медиа,Social_media
Social_networking_service,Soziales_Netzwerk_(Internet),Réseautage_social,Servicio_de_red_social,Servizio_di_rete_sociale,,Sociaalnetwerksite,Serwis_społecznościowy,Социальная_сеть,Social_networking_service
Social_objects,,,,,,,,,Social_objects
Surveillance,Überwachung,Surveillance,Vigilancia,,Övervakning,,Inwigilacja,Негласное_наблюдение,Surveillance
Sustainability,Nachhaltigkeit,Durabilité,Sostenibilidad,Sostenibilità,,Duurzaamheid,Szanse_na_przetrwanie,Устойчивость_окружающей_среды,Sustainability
Tamper_resistance,,,,,,,,,Tamper_resistance
Targeted_advertising,Targeted_Advertising,Ciblage,,,Targeting,Gepersonaliseerd_adverteren,Targetowanie,Таргетинг,Targeted_advertising
Temporary_work,Arbeitnehmerüberlassung,Intérim_(travail),,Lavoro_temporaneo,Vikariat,,Praca_tymczasowa,,Temporary_work
Trust_federation,,,,,,,,,Trust_federation
Two-sided_markets,,,,,,,,,Two-sided_markets
Ubiquitous_computing,Ubiquitous_computing,Informatique_ubiquitaire,Computación_ubicua,Ubiquitous_computing,Ubiquitous_computing,Ubiquitous_computing,Przetwarzanie_bez_granic,Повсеместные_вычисления,Ubiquitous_computing
Ubiquitous_computing,Ubiquitous_computing,Informatique_ubiquitaire,Computación_ubicua,Ubiquitous_computing,Ubiquitous_computing,Ubiquitous_computing,Przetwarzanie_bez_granic,Повсеместные_вычисления,Ubiquitous_computing
Usability,Benutzerfreundlichkeit,Utilisabilité,Usabilidad,Usabilità,Användbarhet,Bruikbaarheid,Użyteczność_(informatyka),Юзабилити,Usability
User_experience,User_Experience,Expérience_utilisateur,Experiencia_de_usuario,User_Experience,,,User_experience,Опыт_взаимодействия,User_experience
User-centered_design,Nutzerorientierte_Gestaltung,Conception_centrée_sur_l'utilisateur,Diseño_centrado_en_el_usuario,Progettazione_centrata_sull'utente,,,Projektowanie_zorientowane_na_użytkownika,Ориентированное_на_пользователя_проектирование,User-centered_design
Virtual_collaboration,,,,,,,,,Virtual_collaboration
Virtual_community,,,Comunidad_virtual,Comunità_virtuale,,Virtuele_gemeenschap,Społeczność_internetowa,,Virtual_community
Wealth_concentration,,,,,,,,,Wealth_concentration
Web_accessibility,Barrierefreies_Internet,Accessibilité_du_web,Accesibilidad_web,,,,Dostępność_(WWW),,Web_accessibility
